Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Name1,Description1,E-value1,PfamID2,Name2,Description2,E-value2,PfamID3,Name3,Description3,E-value3,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097599.1,3515861,3515426,-,PF02627,CMD,Carboxymuconolactone decarboxylase family,2.00E-17,,,,,,,,,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097601.1,3517323,3516390,-,PF01145,Band_7,SPFH domain / Band 7 family,9.30E-26,,,,,,,,,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097603.1,3517437,3517623,+,,,,,,,,,,,,,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097605.1,3519326,3518519,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.30E-10,,,,,,,,,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097607.1,3519979,3519358,-,PF04299,FMN_bind_2,Putative FMN-binding domain,2.70E-44,,,,,,,,,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097609.1,3520849,3519991,-,PF05118,Asp_Arg_Hydrox,Aspartyl/Asparaginyl beta-hydroxylase,2.80E-22,,,,,,,,,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097611.1,3522287,3520865,-,PF04439,Adenyl_transf,Streptomycin adenylyltransferase,2.40E-24,PF18765,Polbeta,"Polymerase beta, Nucleotidyltransferase",2.40E-07,PF01909,NTP_transf_2,Nucleotidyltransferase domain,7.90E-06,,,,,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097613.1,3524712,3522288,-,PF14905,OMP_b-brl_3,Outer membrane protein beta-barrel family,4.70E-69,PF00593,TonB_dep_Rec,TonB dependent receptor,5.00E-07,PF13715,CarbopepD_reg_2,CarboxypepD_reg-like domain,1.60E-06,PF13620,CarboxypepD_reg,Carboxypeptidase regulatory-like domain,3.60E-05,,,,
WP_196097605.1,Pedobacter sp. JBR3-12,NZ_CP064939.1,WP_196097615.1,3525801,3524742,-,PF04339,FemAB_like,Peptidogalycan biosysnthesis/recognition,4.60E-07,PF13480,Acetyltransf_6,Acetyltransferase (GNAT) domain,0.00017,,,,,,,,,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_037228656.1,3652005,3653127,+,PF00534,Glycos_transf_1,Glycosyl transferases group 1,2.50E-29,PF13692,Glyco_trans_1_4,Glycosyl transferases group 1,2.30E-27,PF13524,Glyco_trans_1_2,Glycosyl transferases group 1,1.10E-07,PF13579,Glyco_trans_4_4,Glycosyl transferase 4-like domain,6.80E-07,PF13439,Glyco_transf_4,Glycosyltransferase Family 4,3.40E-05
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_037228659.1,3653123,3655274,+,,,,,,,,,,,,,,,,,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_008225222.1,3655603,3656722,+,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",1.40E-152,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,3.80E-75,PF04321,RmlD_sub_bind,RmlD substrate binding domain,3.50E-07,PF02719,Polysacc_synt_2,Polysaccharide biosynthesis protein,0.0003,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_008228967.1,3656755,3657727,+,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,4.10E-71,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",9.70E-22,PF04321,RmlD_sub_bind,RmlD substrate binding domain,6.10E-06,PF13460,NAD_binding_10,NAD(P)H-binding,7.00E-05,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_037228662.1,3658633,3657811,-,PF01755,Glyco_transf_25,Glycosyltransferase family 25 (LPS biosynthesis protein),1.20E-19,,,,,,,,,,,,,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_008227943.1,3660880,3658633,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,3.70E-36,PF05575,V_cholerae_RfbT,Vibrio cholerae RfbT protein,0.00042,,,,,,,,,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_008226235.1,3663831,3661164,-,PF13403,Hint_2,Hint domain,2.00E-46,PF00353,HemolysinCabind,RTX calcium-binding nonapeptide repeat (4 copies),2.20E-25,,,,,,,,,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_050763229.1,3664193,3664934,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,9.20E-07,PF05175,MTS,Methyltransferase small domain,4.80E-06,PF02475,Met_10,Met-10+ like-protein,0.00029,PF00398,RrnaAD,Ribosomal RNA adenine dimethylase,0.00036,PF10294,Methyltransf_16,Lysine methyltransferase,0.0009
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_037228665.1,3665106,3665760,+,PF01135,PCMT,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT),1.10E-30,PF00398,RrnaAD,Ribosomal RNA adenine dimethylase,6.70E-07,PF13649,Methyltransf_25,Methyltransferase domain,0.00017,,,,,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_008226788.1,3665820,3667260,+,PF02321,OEP,Outer membrane efflux protein,1.30E-49,,,,,,,,,,,,,,,,
WP_008227943.1,Roseobacter sp. GAI101,NZ_DS999213.1,WP_008227299.1,3667333,3668470,+,,,,,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658766.1,1124465,1124924,+,PF00572,Ribosomal_L13,Ribosomal protein L13,8.60E-44,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658767.1,1124930,1125416,+,PF00380,Ribosomal_S9,Ribosomal protein S9/S16,5.40E-46,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658769.1,1125559,1125928,+,PF01152,Bac_globin,Bacterial-like globin,1.50E-14,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658771.1,1125924,1126974,+,PF00211,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain,1.10E-38,PF13188,PAS_8,PAS domain,9.30E-05,PF13426,PAS_9,PAS domain,0.00067,PF07701,HNOBA,Heme NO binding associated,0.00088,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658773.1,1127813,1126976,-,PF01755,Glyco_transf_25,Glycosyltransferase family 25 (LPS biosynthesis protein),6.20E-15,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658774.1,1130047,1127809,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.50E-38,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658775.1,1130317,1130929,+,,,,,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658776.1,1131551,1130936,-,PF13305,TetR_C_33,"Tetracyclin repressor-like, C-terminal domain",5.00E-14,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",1.10E-13,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658778.1,1132413,1131543,-,PF03976,PPK2,Polyphosphate kinase 2 (PPK2),2.70E-93,,,,,,,,,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658780.1,1133479,1132471,-,PF00561,Abhydrolase_1,alpha/beta hydrolase fold,2.30E-23,PF12697,Abhydrolase_6,Alpha/beta hydrolase family,5.60E-20,PF12146,Hydrolase_4,"Serine aminopeptidase, S33",7.80E-17,,,,,,,,
WP_164658774.1,Tropicibacter sp. Alg240-R139,NZ_UNRA01000001.1,WP_164658782.1,1134332,1133414,-,PF04204,HTS,Homoserine O-succinyltransferase,9.50E-131,,,,,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_154664325.1,459129,459012,-,PF06568,DUF1127,Domain of unknown function (DUF1127),4.00E-10,,,,,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_028092163.1,459336,460764,+,PF00155,Aminotran_1_2,Aminotransferase class I and II,1.10E-16,PF00392,GntR,"Bacterial regulatory proteins, gntR family",2.30E-16,PF14502,HTH_41,Helix-turn-helix domain,0.00015,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_028092164.1,460926,461385,+,PF00572,Ribosomal_L13,Ribosomal protein L13,3.50E-43,,,,,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_035365912.1,461387,461885,+,PF00380,Ribosomal_S9,Ribosomal protein S9/S16,5.50E-46,,,,,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_161629382.1,462826,461998,-,PF01755,Glyco_transf_25,Glycosyltransferase family 25 (LPS biosynthesis protein),1.30E-13,,,,,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_051312104.1,465063,462822,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,4.60E-41,PF13649,Methyltransf_25,Methyltransferase domain,0.00018,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_028092167.1,465874,465259,-,PF13305,TetR_C_33,"Tetracyclin repressor-like, C-terminal domain",9.80E-16,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",6.00E-12,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_035365994.1,466759,465886,-,PF03976,PPK2,Polyphosphate kinase 2 (PPK2),7.00E-92,,,,,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_028092169.1,467780,466802,-,PF00561,Abhydrolase_1,alpha/beta hydrolase fold,3.30E-21,PF12697,Abhydrolase_6,Alpha/beta hydrolase family,1.50E-17,PF12146,Hydrolase_4,"Serine aminopeptidase, S33",4.70E-15,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_028092170.1,468729,467784,-,PF04204,HTS,Homoserine O-succinyltransferase,1.10E-129,,,,,,,,,,,,,,,,
WP_051312104.1,Pseudodonghicola xiamenensis,NZ_BNAP01000001.1,WP_028092171.1,469699,468835,-,,,,,,,,,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795407.1,1884398,1884857,+,PF00572,Ribosomal_L13,Ribosomal protein L13,8.30E-44,,,,,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795408.1,1884863,1885349,+,PF00380,Ribosomal_S9,Ribosomal protein S9/S16,7.10E-47,,,,,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795409.1,1885493,1885862,+,PF01152,Bac_globin,Bacterial-like globin,2.50E-14,,,,,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795410.1,1885858,1886908,+,PF00211,Guanylate_cyc,Adenylate and Guanylate cyclase catalytic domain,4.00E-38,PF13188,PAS_8,PAS domain,0.00018,PF07701,HNOBA,Heme NO binding associated,0.00056,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_165759785.1,1887747,1886910,-,PF01755,Glyco_transf_25,Glycosyltransferase family 25 (LPS biosynthesis protein),1.20E-13,,,,,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795412.1,1889981,1887743,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.60E-40,PF01531,Glyco_transf_11,Glycosyl transferase family 11,0.00087,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795413.1,1890237,1890855,+,,,,,,,,,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795414.1,1891470,1890855,-,PF13305,TetR_C_33,"Tetracyclin repressor-like, C-terminal domain",4.40E-14,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",2.20E-13,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795415.1,1892332,1891462,-,PF03976,PPK2,Polyphosphate kinase 2 (PPK2),2.90E-94,,,,,,,,,,,,,,,,
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795416.1,1893398,1892390,-,PF00561,Abhydrolase_1,alpha/beta hydrolase fold,2.10E-22,PF12697,Abhydrolase_6,Alpha/beta hydrolase family,1.80E-19,PF12146,Hydrolase_4,"Serine aminopeptidase, S33",1.30E-17,PF03096,Ndr,Ndr family,5.70E-05,PF00756,Esterase,Putative esterase,0.00057
WP_085795412.1,Ruegeria litorea R37,NZ_FWFO01000001.1,WP_085795417.1,1894251,1893333,-,PF04204,HTS,Homoserine O-succinyltransferase,2.30E-130,,,,,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661532.1,88996,89326,+,,,,,,,,,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661533.1,89384,91142,+,PF16861,Carbam_trans_C,Carbamoyltransferase C-terminus,2.70E-64,PF02543,Carbam_trans_N,Carbamoyltransferase N-terminus,7.70E-48,PF00814,TsaD,tRNA N6-adenosine threonylcarbamoyltransferase,0.00023,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661534.1,91123,91801,+,,,,,,,,,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_049767217.1,91797,92562,+,PF14518,Haem_oxygenas_2,Iron-containing redox enzyme,3.60E-08,,,,,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661536.1,92596,93859,+,PF00067,p450,Cytochrome P450,6.00E-17,,,,,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_080514762.1,93836,94583,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,7.70E-08,,,,,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661538.1,94722,95466,+,PF00565,SNase,Staphylococcal nuclease homologue,2.30E-06,,,,,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661539.1,96387,95496,-,PF08379,Bact_transglu_N,Bacterial transglutaminase-like N-terminal region,1.70E-21,PF01841,Transglut_core,Transglutaminase-like superfamily,2.60E-14,,,,,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661540.1,98822,96383,-,PF14403,CP_ATPgrasp_2,Circularly permuted ATP-grasp type 2,1.90E-141,PF04174,CP_ATPgrasp_1,A circularly permuted ATPgrasp,1.40E-86,PF04168,Alpha-E,A predicted alpha-helical domain with a conserved ER motif.,5.30E-62,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661541.1,102190,98881,-,PF09899,DUF2126,Putative amidoligase enzyme (DUF2126),0,PF08379,Bact_transglu_N,Bacterial transglutaminase-like N-terminal region,1.20E-29,PF01841,Transglut_core,Transglutaminase-like superfamily,3.60E-18,,,,,,,,
WP_080514762.1,Rhodopseudomonas palustris BisA53,NC_008435.1,WP_011661543.1,102831,103260,+,,,,,,,,,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04038.1,88996,89326,+,,,,,,,,,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04039.1,89384,91142,+,PF16861,Carbam_trans_C,Carbamoyltransferase C-terminus,2.70E-64,PF02543,Carbam_trans_N,Carbamoyltransferase N-terminus,7.70E-48,PF00814,TsaD,tRNA N6-adenosine threonylcarbamoyltransferase,0.00023,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04040.1,91123,91801,+,,,,,,,,,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04041.1,91836,92562,+,PF14518,Haem_oxygenas_2,Iron-containing redox enzyme,3.20E-08,,,,,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04042.1,92596,93859,+,PF00067,p450,Cytochrome P450,6.00E-17,,,,,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04043.1,93971,94583,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,4.00E-08,,,,,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04044.1,94722,95466,+,PF00565,SNase,Staphylococcal nuclease homologue,2.30E-06,,,,,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04045.1,96387,95496,-,PF08379,Bact_transglu_N,Bacterial transglutaminase-like N-terminal region,1.70E-21,PF01841,Transglut_core,Transglutaminase-like superfamily,2.60E-14,,,,,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04046.1,98822,96383,-,PF14403,CP_ATPgrasp_2,Circularly permuted ATP-grasp type 2,1.90E-141,PF04174,CP_ATPgrasp_1,A circularly permuted ATPgrasp,1.40E-86,PF04168,Alpha-E,A predicted alpha-helical domain with a conserved ER motif.,5.30E-62,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04047.1,102190,98881,-,PF09899,DUF2126,Putative amidoligase enzyme (DUF2126),0,PF08379,Bact_transglu_N,Bacterial transglutaminase-like N-terminal region,1.20E-29,PF01841,Transglut_core,Transglutaminase-like superfamily,3.60E-18,,,,,,,,
ABJ04043.1,Rhodopseudomonas palustris BisA53,CP000463.1,ABJ04048.1,102564,102252,-,,,,,,,,,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47344.1,1515142,1516669,+,PF11066,DUF2867,Protein of unknown function (DUF2867),2.60E-24,PF13460,NAD_binding_10,NAD(P)H-binding,1.20E-14,PF05368,NmrA,NmrA-like family,6.70E-12,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,8.60E-09,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",6.80E-06
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47345.1,1516665,1517160,+,PF13673,Acetyltransf_10,Acetyltransferase (GNAT) domain,1.00E-07,,,,,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47346.1,1517824,1518481,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.10E-12,,,,,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47347.1,1519741,1518637,-,PF04055,Radical_SAM,Radical SAM superfamily,1.00E-12,,,,,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47348.1,1519846,1520413,+,,,,,,,,,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47349.1,1520421,1522764,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.20E-28,,,,,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47350.1,1522770,1525149,+,PF00534,Glycos_transf_1,Glycosyl transferases group 1,1.40E-22,PF13692,Glyco_trans_1_4,Glycosyl transferases group 1,4.70E-19,PF13439,Glyco_transf_4,Glycosyltransferase Family 4,1.10E-14,PF13524,Glyco_trans_1_2,Glycosyl transferases group 1,2.20E-07,PF13704,Glyco_tranf_2_4,Glycosyl transferase family 2,0.00022
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47351.1,1526645,1525235,-,PF01266,DAO,FAD dependent oxidoreductase,3.60E-12,PF03486,HI0933_like,HI0933-like protein,8.80E-11,PF07992,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,9.20E-09,PF00890,FAD_binding_2,FAD binding domain,2.90E-07,PF01134,GIDA,Glucose inhibited division protein A,5.70E-07
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47352.1,1526913,1528068,+,PF13487,HD_5,HD domain,1.80E-16,PF00072,Response_reg,Response regulator receiver domain,1.80E-15,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47353.1,1528686,1528272,-,PF05443,ROS_MUCR,ROS/MUCR transcriptional regulator protein,3.30E-40,,,,,,,,,,,,,,,,
EHJ47349.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,CM001368.1,EHJ47354.1,1530783,1528830,-,PF07228,SpoIIE,Stage II sporulation protein E (SpoIIE),1.00E-49,PF02743,dCache_1,Cache domain,6.40E-19,PF00672,HAMP,HAMP domain,4.90E-16,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180748.1,1515142,1516669,+,PF11066,DUF2867,Protein of unknown function (DUF2867),2.60E-24,PF13460,NAD_binding_10,NAD(P)H-binding,1.20E-14,PF05368,NmrA,NmrA-like family,6.70E-12,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,8.60E-09,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",6.80E-06
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180749.1,1516665,1517160,+,PF13673,Acetyltransf_10,Acetyltransferase (GNAT) domain,1.00E-07,,,,,,,,,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180750.1,1517824,1518481,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.10E-12,,,,,,,,,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180751.1,1519741,1518637,-,PF04055,Radical_SAM,Radical SAM superfamily,1.00E-12,,,,,,,,,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180752.1,1519846,1520413,+,,,,,,,,,,,,,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_198285080.1,1520547,1522764,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,9.80E-29,,,,,,,,,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180754.1,1522770,1525149,+,PF00534,Glycos_transf_1,Glycosyl transferases group 1,1.40E-22,PF13692,Glyco_trans_1_4,Glycosyl transferases group 1,4.70E-19,PF13439,Glyco_transf_4,Glycosyltransferase Family 4,1.10E-14,PF13524,Glyco_trans_1_2,Glycosyl transferases group 1,2.20E-07,PF13704,Glyco_tranf_2_4,Glycosyl transferase family 2,0.00022
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180755.1,1526645,1525235,-,PF01266,DAO,FAD dependent oxidoreductase,3.60E-12,PF03486,HI0933_like,HI0933-like protein,8.80E-11,PF07992,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,9.20E-09,PF00890,FAD_binding_2,FAD binding domain,2.90E-07,PF01134,GIDA,Glucose inhibited division protein A,5.70E-07
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180756.1,1526913,1528068,+,PF13487,HD_5,HD domain,1.80E-16,PF00072,Response_reg,Response regulator receiver domain,1.80E-15,,,,,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180757.1,1528686,1528272,-,PF05443,ROS_MUCR,ROS/MUCR transcriptional regulator protein,3.30E-40,,,,,,,,,,,,,,,,
WP_198285080.1,Desulfovibrio carbinoliphilus subsp. oakridgensis,NZ_CM001368.1,WP_009180758.1,1530783,1528830,-,PF07228,SpoIIE,Stage II sporulation protein E (SpoIIE),1.00E-49,PF02743,dCache_1,Cache domain,6.40E-19,PF00672,HAMP,HAMP domain,4.90E-16,,,,,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16685.1,1904,2246,+,PF00578,AhpC-TSA,AhpC/TSA family,1.60E-16,PF08534,Redoxin,Redoxin,1.30E-07,,,,,,,,,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16686.1,3373,2242,-,PF04784,DUF547,"Protein of unknown function, DUF547",2.50E-30,,,,,,,,,,,,,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16687.1,3593,4445,+,PF04784,DUF547,"Protein of unknown function, DUF547",9.60E-40,,,,,,,,,,,,,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16688.1,5378,4487,-,PF00296,Bac_luciferase,Luciferase-like monooxygenase,5.20E-52,,,,,,,,,,,,,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16689.1,6795,5526,-,PF09861,Lar_N,Lactate racemase N-terminal domain,1.40E-58,,,,,,,,,,,,,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16690.1,7630,6811,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.10E-17,,,,,,,,,,,,,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16691.1,9006,7836,-,PF00155,Aminotran_1_2,Aminotransferase class I and II,2.40E-63,PF01041,DegT_DnrJ_EryC1,DegT/DnrJ/EryC1/StrS aminotransferase family,1.40E-09,PF01053,Cys_Met_Meta_PP,Cys/Met metabolism PLP-dependent enzyme,3.30E-05,PF01212,Beta_elim_lyase,Beta-eliminating lyase,9.10E-05,,,,
PON16690.1,Candidatus Entotheonella serta,PPXO01000227.1,PON16692.1,9443,9230,-,,,,,,,,,,,,,,,,,,,,
RZI81731.1,Rubrivivax sp.,SEFB01000146.1,RZI81726.1,0,357,+,PF13844,Glyco_transf_41,Glycosyl transferase family 41,1.60E-19,,,,,,,,,,,,,,,,
RZI81731.1,Rubrivivax sp.,SEFB01000146.1,RZI81727.1,379,1477,+,,,,,,,,,,,,,,,,,,,,
RZI81731.1,Rubrivivax sp.,SEFB01000146.1,RZI81728.1,1473,2232,+,PF18922,DUF5672,Protein of unknown function (DUF5672),8.70E-47,,,,,,,,,,,,,,,,
